지역명,규모구분,연도,월,분양가격(제곱미터)
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957
부산,전용면적 102제곱미터초과,2015,11,3739
대구,모든면적,2015,11,2749
대구,전용면적 60제곱미터이하,2015,11,2503
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2557
대구,전용면적 102제곱미터초과,2015,11,2743
광주,모든면적,2015,11,2424
광주,전용면적 60제곱미터이하,2015,11,2251
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2444
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,  
광주,전용면적 102제곱미터초과,2015,11,  
대전,모든면적,2015,11,2454
대전,전용면적 60제곱미터이하,2015,11,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2461
대전,전용면적 102제곱미터초과,2015,11,  
울산,모든면적,2015,11,3043
울산,전용면적 60제곱미터이하,2015,11,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3048
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663
울산,전용면적 102제곱미터초과,2015,11,2874
세종,모든면적,2015,11,2648
세종,전용면적 60제곱미터이하,2015,11,2572
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2644
세종,전용면적 102제곱미터초과,2015,11,2749
강원,모든면적,2015,11,2171
강원,전용면적 60제곱미터이하,2015,11,2292
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2193
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2061
강원,전용면적 102제곱미터초과,2015,11,2171
충북,모든면적,2015,11,2004
충북,전용면적 60제곱미터이하,2015,11,1921
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2015
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,1868
충북,전용면적 102제곱미터초과,2015,11,2277
충남,모든면적,2015,11,2100
충남,전용면적 60제곱미터이하,2015,11,2214
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2105
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2523
충남,전용면적 102제곱미터초과,2015,11,2468
전북,모든면적,2015,11,2057
전북,전용면적 60제곱미터이하,2015,11,2129
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2057
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2377
전북,전용면적 102제곱미터초과,2015,11,2282
전남,모든면적,2015,11,1909
전남,전용면적 60제곱미터이하,2015,11,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,1906
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2262
전남,전용면적 102제곱미터초과,2015,11,2176
경북,모든면적,2015,11,2190
경북,전용면적 60제곱미터이하,2015,11,2210
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2186
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2516
경북,전용면적 102제곱미터초과,2015,11,2370
경남,모든면적,2015,11,2298
경남,전용면적 60제곱미터이하,2015,11,2200
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2322
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2980
경남,전용면적 102제곱미터초과,2015,11,3043
제주,모든면적,2015,11,2232
제주,전용면적 60제곱미터이하,2015,11,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2225
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2583
제주,전용면적 102제곱미터초과,2015,11,2574
서울,모든면적,2015,12,6041
서울,전용면적 60제곱미터이하,2015,12,6321
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,12,5966
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,12,6513
서울,전용면적 102제곱미터초과,2015,12,6551
인천,모든면적,2015,12,3184
인천,전용면적 60제곱미터이하,2015,12,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3545
인천,전용면적 102제곱미터초과,2015,12,3408
경기,모든면적,2015,12,3198
경기,전용면적 60제곱미터이하,2015,12,3293
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3314
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3449
경기,전용면적 102제곱미터초과,2015,12,3850
부산,모든면적,2015,12,3127
부산,전용면적 60제곱미터이하,2015,12,2951
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3032
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2957
부산,전용면적 102제곱미터초과,2015,12,3739
대구,모든면적,2015,12,2962
대구,전용면적 60제곱미터이하,2015,12,3282
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2971
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2532
대구,전용면적 102제곱미터초과,2015,12,2743
광주,모든면적,2015,12,2476
광주,전용면적 60제곱미터이하,2015,12,2395
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2489
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,  
광주,전용면적 102제곱미터초과,2015,12,  
대전,모든면적,2015,12,2454
대전,전용면적 60제곱미터이하,2015,12,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2461
대전,전용면적 102제곱미터초과,2015,12,  
울산,모든면적,2015,12,3043
울산,전용면적 60제곱미터이하,2015,12,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3048
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2663
울산,전용면적 102제곱미터초과,2015,12,2874
세종,모든면적,2015,12,2665
세종,전용면적 60제곱미터이하,2015,12,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2676
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2661
세종,전용면적 102제곱미터초과,2015,12,2752
강원,모든면적,2015,12,2171
강원,전용면적 60제곱미터이하,2015,12,2292
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2193
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2061
강원,전용면적 102제곱미터초과,2015,12,2171
충북,모든면적,2015,12,2005
충북,전용면적 60제곱미터이하,2015,12,1941
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2017
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2276
충북,전용면적 102제곱미터초과,2015,12,2261
충남,모든면적,2015,12,2269
